,County,Pop_Female,Pop_Male,Pop_Total,FIPS,Percent_Disability,SchoolEnroll_10to14,SchoolEnroll_15to17,SchoolEnroll_18to19,SchoolEnroll_3to4,SchoolEnroll_5to9,TotalDisability,Year
54,Snyder,20194,19739,39933,109.0,12.2,,,,,,4870,2016
55,Somerset,36095,35344,71439,111.0,16.4,,,,,,11693,2016
56,Sullivan,2893,3216,6109,113.0,20.1,,,,,,1226,2016
57,Susquehanna,20597,20937,41534,115.0,16.7,,,,,,6952,2016
58,Tioga,20956,20660,41616,117.0,16.3,,,,,,6780,2016
59,Union,19959,19544,39503,119.0,12.9,,,,,,5089,2016
60,Venango,26822,25886,52708,121.0,17.5,,,,,,9221,2016
61,Warren,19954,19974,39928,123.0,17.7,,,,,,7062,2016
62,Washington,105386,101235,206621,125.0,14.7,,,,,,30363,2016
63,Wayne,23726,23997,47723,127.0,17.5,,,,,,8352,2016
64,Westmoreland,182258,173217,355475,129.0,14.8,,,,,,52628,2016
65,Wyoming,13834,13895,27729,131.0,14.3,,,,,,3952,2016
66,York,221003,214731,435734,133.0,13.3,,,,,,57976,2016
0,Adams,50827,49516,100343,1.0,13.3,,,,,,13376,2017
1,Allegheny,630433,584786,1215219,3.0,13.3,,,,,,161316,2017
2,Armstrong,33340,32867,66207,5.0,19.1,,,,,,12652,2017
3,Beaver,85856,80901,166757,7.0,15.2,,,,,,25381,2017
4,Bedford,24237,24170,48407,9.0,17.8,,,,,,8613,2017
5,Berks,208895,201697,410592,11.0,13.3,,,,,,54532,2017
6,Blair,62826,60462,123288,13.0,17.3,,,,,,21363,2017
7,Bradford,30873,30063,60936,15.0,15.1,,,,,,9222,2017
8,Bucks,316564,304175,620739,17.0,10.8,,,,,,66957,2017
9,Butler,93337,90642,183979,19.0,12.1,,,,,,22293,2017
10,Cambria,68127,63988,132115,21.0,18.0,,,,,,23777,2017
11,Cameron,2304,2411,4715,23.0,19.0,,,,,,895,2017
12,Carbon,31832,31328,63160,25.0,16.3,,,,,,10285,2017
13,Centre,75744,80528,156272,27.0,9.8,,,,,,15386,2017
14,Chester,259063,250777,509840,29.0,8.5,,,,,,43521,2017
15,Clarion,19652,18701,38353,31.0,17.0,,,,,,6503,2017
16,Clearfield,38031,37080,75111,33.0,18.5,,,,,,13903,2017
17,Clinton,19846,18887,38733,35.0,15.7,,,,,,6071,2017
18,Columbia,34192,31679,65871,37.0,12.9,,,,,,8521,2017
19,Crawford,43262,42156,85418,39.0,16.8,,,,,,14369,2017
20,Cumberland,122892,116262,239154,41.0,11.3,,,,,,27139,2017
21,Dauphin,139927,130112,270039,43.0,13.2,,,,,,35700,2017
22,Delaware,290006,265822,555828,45.0,11.8,,,,,,65590,2017
23,Elk,15157,15293,30450,47.0,16.9,,,,,,5140,2017
24,Erie,139241,132858,272099,49.0,15.3,,,,,,41761,2017
25,Fayette,66990,62744,129734,51.0,18.5,,,,,,24031,2017
26,Forest,1355,1546,2901,53.0,30.9,,,,,,896,2017
27,Franklin,76870,74717,151587,55.0,13.1,,,,,,19860,2017
28,Fulton,7222,7372,14594,57.0,15.2,,,,,,2212,2017
29,Greene,17762,17128,34890,59.0,20.4,,,,,,7113,2017
30,Huntingdon,21338,20416,41754,61.0,16.5,,,,,,6877,2017
31,Indiana,42772,42335,85107,63.0,14.9,,,,,,12715,2017
32,Jefferson,21999,21724,43723,65.0,16.0,,,,,,6979,2017
33,Juniata,12076,12127,24203,67.0,14.1,,,,,,3402,2017
34,Lackawanna,107679,100409,208088,69.0,15.6,,,,,,32418,2017
35,Lancaster,270494,259590,530084,71.0,11.7,,,,,,62231,2017
36,Lawrence,45005,42198,87203,73.0,17.0,,,,,,14824,2017
37,Lebanon,69380,66527,135907,75.0,12.8,,,,,,17403,2017
38,Lehigh,182259,173552,355811,77.0,13.9,,,,,,49395,2017
39,Luzerne,158726,151674,310400,79.0,15.5,,,,,,48143,2017
40,Lycoming,56307,55919,112226,81.0,15.4,,,,,,17314,2017
41,McKean,19827,20197,40024,83.0,18.6,,,,,,7425,2017
42,Mercer,56601,53070,109671,85.0,16.6,,,,,,18200,2017
43,Mifflin,23337,22516,45853,87.0,17.3,,,,,,7931,2017
44,Monroe,84257,82046,166303,89.0,14.7,,,,,,24505,2017
45,Montgomery,415095,389546,804641,91.0,10.0,,,,,,80441,2017
46,Montour,9163,8519,17682,93.0,13.0,,,,,,2302,2017
47,Northampton,151558,146573,298131,95.0,12.4,,,,,,37083,2017
48,Northumberland,45390,43741,89131,97.0,16.8,,,,,,14985,2017
49,Perry,22558,22793,45351,99.0,14.0,,,,,,6352,2017
50,Philadelphia,820878,734814,1555692,101.0,15.9,,,,,,247093,2017
51,Pike,27636,27654,55290,103.0,16.2,,,,,,8981,2017
52,Potter,8349,8483,16832,105.0,18.6,,,,,,3138,2017
53,Schuylkill,69591,67841,137432,107.0,18.0,,,,,,24688,2017
54,Snyder,20390,19864,40254,109.0,11.8,,,,,,4757,2017
55,Somerset,35760,35020,70780,111.0,16.2,,,,,,11443,2017
56,Sullivan,2869,3126,5995,113.0,20.8,,,,,,1249,2017
57,Susquehanna,20578,20843,41421,115.0,17.1,,,,,,7088,2017
58,Tioga,20712,20421,41133,117.0,16.7,,,,,,6860,2017
59,Union,19974,19548,39522,119.0,13.3,,,,,,5240,2017
60,Venango,26500,25637,52137,121.0,18.0,,,,,,9374,2017
61,Warren,19884,19774,39658,123.0,17.3,,,,,,6842,2017
62,Washington,104976,101004,205980,125.0,14.7,,,,,,30308,2017
63,Wayne,23921,24145,48066,127.0,18.4,,,,,,8832,2017
64,Westmoreland,180986,172347,353333,129.0,15.0,,,,,,52853,2017
65,Wyoming,13710,13801,27511,131.0,13.7,,,,,,3774,2017
66,York,221771,215414,437185,133.0,13.4,,,,,,58367,2017
